Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Namibia,...,...,Development,GDP (current US$ Mil),          11491.51,          12853.96,          12713.37,          13016.27,          12409.63,          11282.19,           8876.19,           8486.72,           8740.87,           7978.73,           7261.33,           6606.86,           4931.31,           3361.25,           3546.78,           3908.66,           3818.95,           3826.53,           4102.65,           3945.34,           3942.48,           3636.65,           3218.48,           3448.33,           3012.74,           2804.38,           2547.34,           2506.55
Namibia,...,...,Export,No. Of Export partners,            165.00,            156.00,            162.00,            144.00,            156.00,            154.00,            154.00,            159.00,            148.00,            157.00,            154.00,            154.00,            116.00,            119.00,            118.00,            126.00,,,,,,,,,,,,
Namibia,...,...,Export,No. Of Export products,           3090.00,           3263.00,           3259.00,           3285.00,           3334.00,           3417.00,           3399.00,           3325.00,           3228.00,           3405.00,           3487.00,           3538.00,           3295.00,           3330.00,           3155.00,           2962.00,,,,,,,,,,,,
Namibia,...,...,Import,No. Of Import partners,            161.00,            152.00,            128.00,            120.00,            122.00,            120.00,            110.00,            126.00,            119.00,            127.00,            134.00,            126.00,            102.00,            105.00,            110.00,            106.00,,,,,,,,,,,,
Namibia,...,...,Import,No. Of Import products,           4166.00,           4137.00,           4091.00,           4167.00,           4137.00,           4156.00,           4107.00,           4105.00,           4191.00,           4397.00,           4473.00,           4440.00,           4221.00,           4268.00,           4342.00,           4358.00,,,,,,,,,,,,
Namibia,...,...,Tariff,No. Of Tariff Agreement,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              3.00,              3.00,              3.00,,              4.00,              2.00,,,,,,,,,,,,,
Namibia,...,...,Development,Trade Balance (current US$ Mil),          -2735.54,          -2681.87,          -2026.03,          -2179.37,          -1482.81,          -1455.28,          -1844.83,          -1060.74,           -466.34,            311.84,              9.94,           -149.79,           -447.99,            -69.58,           -230.24,           -143.55,           -318.75,           -363.71,           -313.66,           -228.78,           -166.43,            -47.02,            -93.91,           -203.84,           -175.93,           -185.20,             85.17,             37.51
Namibia,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            206.76,            435.85,            466.23,            500.91,            492.01,            558.96,            663.75,            405.62,            260.86,            192.87,            194.52,            244.58,            324.76,            186.54,             82.09,             93.26,,,,,,,,,,,,
Namibia,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            167.26,            295.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            439.21,            327.79,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1032.69,            993.80,            868.60,            364.69,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            180.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            334.17,,,,,,,,,,,,,,,,,,,,
Namibia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            289.38,,,,,,,,,,,,,,,,,,,,,
Namibia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            493.28,            335.98,            235.25,            287.69,            267.02,            204.94,            330.72,            153.27,            101.48,             96.85,             40.06,             28.34,             18.22,,             16.91,,,,,,,,,,,,,
Namibia,Cyprus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             40.91,,,,,,,,,,,,,,,,,
Namibia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            250.01,,             82.39,,             53.69,,,,,,,,,,,,
Namibia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            114.09,,,,,,,              8.96,,,,,,,,,,,,
Namibia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            241.58,,,            131.16,            162.36,            213.88,,             83.91,             62.44,             48.19,             44.32,             33.45,             41.07,             30.59,             28.19,,,,,,,,,,,,
Namibia,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            128.42,            162.36,,,,             21.37,,,,,,,,,,,,,,,,
Namibia,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            570.94,            243.48,,,,,,,,,,,,,,,,,,
Namibia,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            546.73,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            562.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Marshall Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            307.68,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            109.47,,            161.65,,,,,,,,,,,,,,,,,,,,
Namibia,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            903.01,            777.52,           1690.94,            933.39,           1717.82,           1693.90,           1985.66,           1505.02,           1172.27,            829.65,            768.77,            637.51,            410.59,            326.06,            433.41,            336.59,,,,,,,,,,,,
Namibia,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4900.00,           4774.80,           4677.87,           4968.61,           4892.55,           4331.18,           4336.35,           3179.80,           3142.97,           2305.29,           2099.81,           2063.61,           1148.89,           1013.34,           1335.89,           1236.91,,,,,,,,,,,,
Namibia,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            207.46,,,,,            288.17,            290.76,,            242.80,            202.04,            211.05,,            167.00,            155.83,            184.45,            132.95,,,,,,,,,,,,
Namibia,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             91.35,,             35.69,,             19.37,             16.31,,,,,,,,,,,,,,
Namibia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            707.61,            725.25,            556.77,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            186.83,,            438.79,            426.80,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            631.65,            848.76,            735.88,            608.78,            709.71,            682.88,            865.19,            514.28,            529.35,            135.66,            315.13,            495.55,            433.64,,,,,,,,,,,,
Namibia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            172.86,            229.82,            299.97,            316.28,            373.31,,             23.60,,             62.53,             17.50,             34.29,             18.23,             28.37,,,,,,,,,,,,
Namibia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            412.03,,,            260.77,,,            262.64,            222.56,             35.16,,             41.65,,,,,,,,,,,,,
