Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
St. Kitts and Nevis,...,...,Development,GDP (current US$ Mil),            876.48,            847.78,            788.16,            734.46,            753.23,            705.02,            723.21,            738.94,            674.01,            636.22,            543.17,            502.56,            465.85,            483.12,            461.08,            420.52,            389.98,            364.98,            357.24,            318.74,            299.70,            277.57,            249.68,            229.43,            209.88,            208.74,            185.09,            165.75
St. Kitts and Nevis,...,...,Export,No. Of Export partners,,,,,             43.00,             39.00,             36.00,             37.00,             36.00,             32.00,             28.00,             28.00,             27.00,             32.00,             32.00,             34.00,             31.00,,             37.00,             27.00,             25.00,             30.00,             26.00,,,,,
St. Kitts and Nevis,...,...,Export,No. Of Export products,,,,,            379.00,            369.00,            386.00,            404.00,            394.00,            417.00,            360.00,            383.00,            431.00,            473.00,            425.00,            524.00,            505.00,,            558.00,            577.00,            543.00,            511.00,            604.00,,,,,
St. Kitts and Nevis,...,...,Import,No. Of Import partners,,,,,            131.00,            126.00,            129.00,            112.00,            108.00,            103.00,            100.00,            103.00,            108.00,             97.00,            101.00,            106.00,             84.00,,             90.00,             83.00,             78.00,             80.00,             78.00,,,,,
St. Kitts and Nevis,...,...,Import,No. Of Import products,,,,,           2845.00,           2845.00,           2851.00,           2968.00,           2948.00,           3003.00,           2926.00,           2905.00,           2970.00,           2953.00,           2983.00,           3118.00,           3023.00,,           2304.00,           2357.00,           2378.00,           2389.00,           2526.00,,,,,
St. Kitts and Nevis,...,...,Tariff,No. Of Tariff Agreement,,,,,              4.00,              3.00,              1.00,              4.00,              4.00,              4.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,,,              1.00,,,,,,,,
St. Kitts and Nevis,...,...,Development,Trade Balance (current US$ Mil),           -150.64,            -51.30,            -55.10,            -73.22,           -112.93,           -155.13,           -190.81,           -201.57,           -113.30,            -84.98,            -53.47,            -47.70,            -90.72,           -103.08,            -88.98,            -98.85,            -59.30,            -48.08,            -55.97,            -65.66,            -53.68,            -22.18,            -25.37,            -12.33,            -35.01,            -49.99,            -40.20,            -31.70
St. Kitts and Nevis,Anguila,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              8.50,,,              0.36,,,,,
St. Kitts and Nevis,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.37,              0.94,              1.51,              0.77,              0.61,,,,,,,,              0.22,,,,,,              0.65,,,,,
St. Kitts and Nevis,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.67,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              5.93,,,,,,,,,              3.72,              3.35,              3.30,              3.28,,,,,
St. Kitts and Nevis,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.48,,,,,,,,,,,,
St. Kitts and Nevis,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.37,              0.58,,,,,,,,,,,,,,
St. Kitts and Nevis,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,              5.49,,,              6.74,              8.21,              6.50,,              6.53,             18.87,             35.72,             21.62,             14.97,              8.55,,              3.32,,,,,,,,,
St. Kitts and Nevis,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,              6.15,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.00,,,,              0.42,,,,              0.33,              0.33,              0.39,,              0.45,,              0.51,,              0.63,              0.60,,,,,,
St. Kitts and Nevis,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              7.50,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,Grenada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              0.60,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              0.19,,,,,,,,
